SMILES,PubChem_IUPAC_Name,PubChem_Formula,PubChem_Mass,PubChem_Title,PubChem_Description,ChEMBL_ID,ChEMBL_Name,ChEMBL_Formula,ChEMBL_Weight,ChEMBL_Type,ChEMBL_Phase,ChEMBL_Mechanism,ChEMBL_Target,LD50_studies,LC50_studies,other_tox_studies
O[C@@H](CNC(C)(C)C)c1cc(c(O)cc1)CO,4-[(1R)-2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol,C13H21NO3,239.15214353,Levalbuterol,,CHEMBL714,ALBUTEROL,C13H21NO3,239.31,Small molecule,4.0,Beta-2 adrenergic receptor agonist,,0.0,0.0,0.0
Cl[C@H]1[C@H]2[C@H]3[C@@]([C@](O)([C@@H](C3)C)C(=O)CO)(C[C@H](O)[C@@H]2[C@@]2(C(=CC(=O)C=C2)C1)C)C,"(7R,8S,9S,10R,11S,13S,14S,16R,17R)-7-chloro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one",C22H29ClO5,408.1703517,Alclometasone,,CHEMBL1201361,ALCLOMETASONE,C22H29ClO5,408.92,Small molecule,,,,0.0,0.0,0.0
Cl[C@@]12[C@H]3[C@@H]([C@@](Cl)(C1(Cl)Cl)C(=C2Cl)Cl)[C@H]1C[C@@H]3C=C1,"(1S,2S,3S,6R,7R,8R)-1,8,9,10,11,11-hexachlorotetracyclo[6.2.1.13,6.02,7]dodeca-4,9-diene",C12H8Cl6,363.872766,Aldrin,,CHEMBL195953,ALDRIN,C12H8Cl6,364.91,Small molecule,,,,0.0,0.0,0.0
O1[C@@H](CCC1)C(=O)NCCCN(c1nc2c(c(n1)N)cc(OC)c(OC)c2)C,,,,,,CHEMBL709,ALFUZOSIN,C19H27N5O4,389.46,Small molecule,4.0,,,,,
OC(=O)/C=C(/C=C/C=C(\C=C\C1=C(CCCC1(C)C)C)/C)\C,,,,,,CHEMBL38,TRETINOIN,C20H28O2,300.44,Small molecule,4.0,Retinoic acid receptor agonist,,,,
Fc1ccc([C@H](N2CCN(CC2)c2nc(nc(n2)NCC=C)NCC=C)c2ccc(F)cc2)cc1,"6-[4-[bis(4-fluorophenyl)methyl]piperazin-1-yl]-2-N,4-N-bis(prop-2-enyl)-1,3,5-triazine-2,4-diamine",C26H29F2N7,477.24525028,Almitrine,,CHEMBL314610,ALMITRINE MESYLATE,C27H33F2N7O3S,573.67,Small molecule,,,,0.0,0.0,0.0
S(=O)(=O)(N1CCCC1)Cc1cc2c(CCN(C)C)c[nH]c2cc1,"N,N-dimethyl-2-[5-(pyrrolidin-1-ylsulfonylmethyl)-1H-indol-3-yl]ethanamine",C17H25N3O2S,335.16674822,Almotriptan,,CHEMBL1505,ALMOTRIPTAN,C17H25N3O2S,335.47,Small molecule,4.0,,,0.0,0.0,0.0
O=C1N(CCc2n(c3c(c12)cccc3)C)Cc1nc[nH]c1C,"5-methyl-2-[(5-methyl-1H-imidazol-4-yl)methyl]-3,4-dihydropyrido[4,3-b]indol-1-one",C17H18N4O,294.14806121,Alosetron,,CHEMBL1110,ALOSETRON,C17H18N4O,294.36,Small molecule,4.0,,,0.0,0.0,0.0
Clc1cc2c(n3c(nnc3C)CN=C2c2ccccc2)cc1,"8-chloro-1-methyl-6-phenyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine",C17H13ClN4,308.0828741,Alprazolam,,CHEMBL661,ALPRAZOLAM,C17H13ClN4,308.77,Small molecule,4.0,GABA-A receptor; anion channel positive allosteric modulator,,0.0,0.0,0.0
O[C@H]1[C@@H]([C@@H](CCCCCCC(=O)O)C(=O)C1)/C=C/[C@@H](O)CCCCC,,,,,,CHEMBL495,ALPROSTADIL,C20H34O5,354.49,Small molecule,4.0,Prostanoid EP1 receptor agonist,,,,
Oc1cc([C@]2([C@H](CN(CC2)C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)C)C)ccc1,"2-[[(2S)-2-benzyl-3-[(3R,4R)-4-(3-hydroxyphenyl)-3,4-dimethylpiperidin-1-yl]propanoyl]amino]acetic acid",C25H32N2O4,424.23620751,Alvimopan,,CHEMBL308501,,C25H32N2O4,424.54,Small molecule,,,,0.0,0.0,0.0
N[C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,adamantan-1-amine,C10H17N,151.136099547,Amantadine,,CHEMBL19601,,C10H17N,151.25,Small molecule,,,,0.0,0.0,0.0
Clc1c(C[N+](CCNC(=O)C(=O)NCC[N+](Cc2c(Cl)cccc2)(CC)CC)(CC)CC)cccc1,,,,,,CHEMBL1652,AMBENONIUM,C28H42Cl2N4O2+2,537.58,Small molecule,4.0,,,,,
O([C@@]([C@H](Oc1nc(cc(n1)C)C)C(=O)O)(c1ccccc1)c1ccccc1)C,"(2S)-2-(4,6-dimethylpyrimidin-2-yl)oxy-3-methoxy-3,3-diphenylpropanoic acid",C22H22N2O4,378.15795719,Ambrisentan,,CHEMBL302753,,C22H22N2O4,378.43,Small molecule,,,,0.0,0.0,0.0
