FP,ExtFP,EStateFP,GraphFP,MACCSFP,PubchemFP,SubFP,SubFPC,KRFP,KRFPC,AD2D,APC2D,Total features,Train Logloss,Validation Logloss,Test Logloss,Train AUC,Validation AUC,Test AUC,Iteration
1024,1024,79,1024,166,881,307,307,4860,4860,0,780,15312,0.30404074930452013,0.5565834467832422,0.4512707379024903,0.9834111766633891,0.7709460350969787,0.9008005569091542,0
1024,1024,79,1024,166,881,307,307,4860,4860,0,0,14532,0.3066746800868278,0.5586285778853215,0.4425079200169442,0.9814077351687972,0.7701543739279588,0.9057431256526279,0
1024,1024,79,1024,166,881,307,307,4860,4860,780,0,15312,0.3210825833583417,0.5566273888234666,0.44519060177422415,0.9795108161258603,0.7713418656814882,0.9089453532892446,0
1024,1024,79,1024,166,881,307,307,4860,4860,780,780,16092,0.3061466716965759,0.5493094554906518,0.4466195584371154,0.9832063257948214,0.7797202797202797,0.9042116254785938,0
1024,1024,79,1024,166,881,307,307,4860,4860,0,780,15312,0.30404074930452013,0.5565834467832422,0.4512707379024903,0.9834111766633891,0.7709460350969787,0.9008005569091542,0
1024,1024,79,1024,166,881,307,307,4860,4860,0,0,14532,0.3066746800868278,0.5586285778853215,0.4425079200169442,0.9814077351687972,0.7701543739279588,0.9057431256526279,0
1024,1024,79,1024,166,881,307,307,4860,4860,780,0,15312,0.3210825833583417,0.5566273888234666,0.44519060177422415,0.9795108161258603,0.7713418656814882,0.9089453532892446,0
1024,1024,79,0,166,881,307,307,4860,4860,780,780,15068,0.3363295765890106,0.5548873155679839,0.4611471853577198,0.97742133726647,0.7740467080089721,0.9049077619213366,0
1024,1024,79,0,166,881,307,307,4860,4860,0,780,14288,0.3039735645976201,0.5492944257095046,0.44700120717876557,0.9838331694526383,0.7803799973611294,0.8991994430908458,0
1024,1024,79,0,166,881,307,307,4860,4860,0,0,13508,0.31168614787579124,0.5593720309761016,0.44679537926021656,0.9818420190101605,0.7680432774772398,0.9039331709014967,0
1024,1024,79,0,166,881,307,307,4860,4860,780,0,14288,0.311240898844145,0.5483675234980593,0.4455890989160071,0.9816289741068502,0.7849980208470775,0.9024712843717368,0
1024,1024,79,0,166,881,307,307,0,4860,780,780,10208,0.3016695354928062,0.5501466034292191,0.45168689187120653,0.9826941986234021,0.7820292914632537,0.8936303515489036,0
1024,1024,79,0,166,881,307,307,4860,0,780,780,10208,0.2994411437089699,0.5514722983257426,0.4514517746585094,0.9830588331694526,0.7791265338435149,0.9018447615732683,0
1024,1024,79,0,166,881,307,307,4860,0,0,780,9428,0.3019100526424772,0.556037164554205,0.4449539637972589,0.9824934447722059,0.7736508774244624,0.9033066481030282,0
1024,1024,79,0,166,881,307,307,4860,0,780,0,9428,0.30725487641345134,0.5602018352348662,0.44590102250935065,0.980711242215667,0.7675814751286449,0.9065088757396449,0
1024,1024,79,0,166,881,307,307,0,4860,0,780,9428,0.2979007986695627,0.5588526727818557,0.4493372295875766,0.9838905276958374,0.7694946562871091,0.8978767838496345,0
1024,1024,79,0,166,881,307,307,0,4860,780,0,9428,0.3003414132272951,0.5571207854758975,0.444747050781338,0.9828826614224845,0.7716057527378282,0.9054646710755307,0
1024,1024,79,0,166,881,307,307,0,0,780,780,5348,0.3016695354928062,0.5501466034292191,0.45168689187120653,0.9826941986234021,0.7820292914632537,0.8936303515489036,0
1024,1024,79,0,0,881,307,307,4860,4860,780,780,14902,0.3618149006717234,0.5560156604155159,0.4681386330476704,0.9741601114388725,0.7714078374455732,0.9083884441350505,0
1024,1024,79,0,0,881,307,307,4860,4860,0,780,14122,0.309673340668028,0.5504801425452939,0.4446124064392225,0.9825508030154048,0.7735849056603774,0.9139575356769927,0
1024,1024,79,0,0,881,307,307,4860,4860,780,0,14122,0.3560979811947865,0.5480937431689744,0.46091325652488047,0.9730416256964929,0.7824910938118484,0.9101287852419073,0
